name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Kenya,15-24,female,2015,4742700.0,55.928,2652497.256,7.339,153399.97938216003,1936802.7646178398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,-6649.549481153313,719480.940398253,1523548.681573328,125547.08460861952,-296.28476164825577
Kenya,15-24,female,2016,4887980.0,56.361,2754914.4077999997,7.371,157228.264801062,1975837.3273989381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,133251.1233309456,1321644.3646042831,1198569.7442019463,94101.81875974232,7347.356903082255
Kenya,15-24,female,2017,5033260.0,56.906,2864226.9356,9.304,201806.836311776,1967226.2280882238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,214899.93727143164,1711655.5879868905,976032.9167972978,73056.11988040336,12648.176088608247
Kenya,15-24,female,2018,5178540.0,57.463,2975744.4401999996,11.192,246536.87905281605,1956258.6807471844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,249086.20189003632,1923854.489807495,840840.9678583909,60755.94667398272,15915.775137542987
Kenya,15-24,female,2019,5323820.0,58.043,3090104.8426,13.175,294291.97198745003,1939423.1854125499,694079.0992284494,12926.903290372997,119481.7161065984,0.0,6055.64677863935,61889.1449535849,460839.2860513073,46550.637411079435,91033.87483755195,3049.7846218023524,22505.262222001074,5175.457975769256,9044.113899846503,24532.436186713985,36550.8837413184,129282.73149428845,40115.12654187338,0,0,95435.68860368391,0,246619.60441639132,1992582.199771196,777894.1239201921,55545.27390865317,17461.434742897363
Kenya,15-24,female,2020,5469100.0,58.456,3197017.0960000004,14.775,335700.24906599993,1936382.6549339998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,218275.05639595998,1952177.7150646811,772096.7871036974,55771.41024864594,17593.69831520202
Kenya,15-24,female,2021,5604760.0,58.395,3272899.602,14.463,337256.96936273994,1994603.42863726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,174874.9593969151,1836982.9447266243,808347.6953778724,59777.123698581636,16624.81757679693
Kenya,15-24,female,2022,5740420.0,58.126,3336676.5291999998,14.332,344504.51423505606,2059238.9565649442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,127210.05497228989,1681337.8565610428,871549.3628130368,65908.209369488,14864.57204214919
Kenya,15-24,female,2023,5876080.0,58.196,3419643.5168,14.321,351786.268759072,2104650.2144409283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,86078.99967890233,1519582.9036806175,946603.3594541709,72509.70559579096,12623.359277694113
Kenya,15-24,female,2024,6011740.0,58.297,3504664.0678,14.3,358511.85830460006,2148564.0738954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,62280.45007357048,1386058.5391980293,1018411.2553462562,77926.65071191645,10211.576849867013
Kenya,15-24,male,2015,4769000.0,53.436,2548362.84,7.337,162928.1484292,2057709.0115708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,66613.06271311233,1315105.2162259594,1071874.6205342733,80504.08305229037,7939.6223251032025
Kenya,15-24,male,2016,4916300.0,53.445,2627516.535,7.378,168866.44404769997,2119917.0209522997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,109851.84190203245,1341061.948694068,1091896.951749034,78588.93285502773,6116.8597998378045
